,key-label,key,label,count
0,"('原動機（ターボチャージャー）', '不具合の部位')",原動機（ターボチャージャー）,不具合の部位,1
4,"('漏れ', '原因')",漏れ,原因,2
7,"('異音', '原因')",異音,原因,2
12,"('車両全長', '不具合の部位')",車両全長,不具合の部位,1
14,"('受注時', '原因')",受注時,原因,2
15,"('フォーク等', '原因')",フォーク等,原因,2
16,"('仕様組み合わせ', '原因')",仕様組み合わせ,原因,2
17,"('作業装置', '原因')",作業装置,原因,2
21,"('満足', '対策')",満足,対策,2
22,"('作業装置', '対策')",作業装置,対策,2
24,"('フォーク等', '対策')",フォーク等,対策,2
26,"('方向指示器', '不具合の部位')",方向指示器,不具合の部位,1
30,"('道路運送車両', '原因')",道路運送車両,原因,2
33,"('エアバッグ装置（インフレーター）', '不具合の部位')",エアバッグ装置（インフレーター）,不具合の部位,1
34,"('ガス発生剤', '原因')",ガス発生剤,原因,2
35,"('吸湿防止', '原因')",吸湿防止,原因,2
36,"('エアバッグ作動時', '原因')",エアバッグ作動時,原因,2
37,"('運転者席用エアバッグ', '原因')",運転者席用エアバッグ,原因,2
39,"('繰返し', '原因')",繰返し,原因,2
41,"('部品交換', '対策')",部品交換,対策,2
44,"('代替品', '対策')",代替品,対策,2
46,"('案内', '対策')",案内,対策,2
47,"('準備', '対策')",準備,対策,2
48,"('エアバック装置（インフレーター）', '不具合の部位')",エアバック装置（インフレーター）,不具合の部位,1
56,"('後写鏡等（直前直左確認鏡）', '不具合の部位')",後写鏡等（直前直左確認鏡）,不具合の部位,1
62,"('断線', '原因')",断線,原因,3
66,"('対象', '対策')",対象,対策,2
67,"('原動機（エンジン制御用コントロールユニット(エンジンECU)）', '不具合の部位')",原動機（エンジン制御用コントロールユニット(エンジンECU)）,不具合の部位,1
71,"('こと', '原因')",こと,原因,2
82,"('車体(後部突入防止装置）', '不具合の部位')",車体(後部突入防止装置）,不具合の部位,1
88,"('強度', '原因')",強度,原因,2
89,"('不足', '原因')",不足,原因,2
95,"('補修', '対策')",補修,対策,2
96,"('制動装置（ブレーキ負圧電動ポンプ）', '不具合の部位')",制動装置（ブレーキ負圧電動ポンプ）,不具合の部位,2
98,"('ブレーキ負圧電動ポンプ', '原因')",ブレーキ負圧電動ポンプ,原因,2
99,"('ブレーキペダル', '原因')",ブレーキペダル,原因,2
100,"('ブレーキ警告灯', '原因')",ブレーキ警告灯,原因,2
101,"('ブレーキ倍力装置', '原因')",ブレーキ倍力装置,原因,2
102,"('操作力', '原因')",操作力,原因,2
103,"('警告音', '原因')",警告音,原因,2
106,"('ブレーキ負圧電動ポンプ', '対策')",ブレーキ負圧電動ポンプ,対策,2
111,"('電気装置（エンジンコントロールハーネス）', '不具合の部位')",電気装置（エンジンコントロールハーネス）,不具合の部位,1
123,"('損傷', '対策')",損傷,対策,2
124,"('動力伝達装置(ドライブシャフト)', '不具合の部位')",動力伝達装置(ドライブシャフト),不具合の部位,1
133,"('制動装置（エキスパンダー）', '不具合の部位')",制動装置（エキスパンダー）,不具合の部位,2
134,"('シュークリアランス', '原因')",シュークリアランス,原因,2
135,"('クリップ', '原因')",クリップ,原因,2
136,"('振動入力', '原因')",振動入力,原因,2
137,"('制動力', '原因')",制動力,原因,2
138,"('アジャスター', '原因')",アジャスター,原因,2
139,"('上側クリップ', '対策')",上側クリップ,対策,2
140,"('車両下側', '対策')",車両下側,対策,2
141,"('スプリング', '対策')",スプリング,対策,2
142,"('破損', '対策')",破損,対策,2
145,"('電気装置（フロントドアガラスヒーター配線）', '不具合の部位')",電気装置（フロントドアガラスヒーター配線）,不具合の部位,2
146,"('配線', '原因')",配線,原因,2
147,"('ドア開閉時', '原因')",ドア開閉時,原因,2
148,"('フロントドアガラスヒーター', '原因')",フロントドアガラスヒーター,原因,2
149,"('アーム部', '原因')",アーム部,原因,2
150,"('上側水平バー', '原因')",上側水平バー,原因,2
151,"('固定方法', '原因')",固定方法,原因,2
152,"('オプション設定', '原因')",オプション設定,原因,3
153,"('フロントドアガラスヒーター配線', '対策')",フロントドアガラスヒーター配線,対策,2
154,"('固定方法', '対策')",固定方法,対策,2
155,"('不具合発生部', '対策')",不具合発生部,対策,2
156,"('断線', '対策')",断線,対策,2
158,"('点検', '対策')",点検,対策,3
159,"('原動機（ロッカーアーム）', '不具合の部位')",原動機（ロッカーアーム）,不具合の部位,1
169,"('電気装置(電源分配器)', '不具合の部位')",電気装置(電源分配器),不具合の部位,1
180,"('その他', '不具合の部位')",その他,不具合の部位,1
192,"('原動機（オイルミストセパレータ）', '不具合の部位')",原動機（オイルミストセパレータ）,不具合の部位,1
209,"('制動装置（空気圧力試験用コネクター）', '不具合の部位')",制動装置（空気圧力試験用コネクター）,不具合の部位,1
215,"('おそれ', '原因')",おそれ,原因,3
217,"('通路（スロープ板）', '不具合の部位')",通路（スロープ板）,不具合の部位,1
226,"('恒久対策', '対策')",恒久対策,対策,2
227,"('決定次第', '対策')",決定次第,対策,2
229,"('電気装置（フロントドアガラスヒーター回路）', '不具合の部位')",電気装置（フロントドアガラスヒーター回路）,不具合の部位,1
238,"('制動装置（ブレーキフルードタイプラベル）', '不具合の部位')",制動装置（ブレーキフルードタイプラベル）,不具合の部位,1
247,"('原動機（エアフローセンサー）', '不具合の部位')",原動機（エアフローセンサー）,不具合の部位,1
