,source_origin,source,source_attr,source_color,source_count,target_origin,target,target_attr,target_color,target_count,edge_weight
0,"('原動機（ターボチャージャー）', '不具合の部位')",原動機（ターボチャージャー）,不具合の部位,gray,10,"('漏れ', '原因')",漏れ,原因,red,20,1
1,"('原動機（ターボチャージャー）', '不具合の部位')",原動機（ターボチャージャー）,不具合の部位,gray,10,"('異音', '原因')",異音,原因,red,20,1
2,"('漏れ', '原因')",漏れ,原因,red,20,"('異音', '原因')",異音,原因,red,20,1
3,"('漏れ', '原因')",漏れ,原因,red,20,"('動力伝達装置(ドライブシャフト)', '不具合の部位')",動力伝達装置(ドライブシャフト),不具合の部位,gray,10,1
4,"('漏れ', '原因')",漏れ,原因,red,20,"('強度', '原因')",強度,原因,red,20,1
5,"('漏れ', '原因')",漏れ,原因,red,20,"('対象', '対策')",対象,対策,blue,20,1
6,"('漏れ', '原因')",漏れ,原因,red,20,"('損傷', '対策')",損傷,対策,blue,20,1
7,"('異音', '原因')",異音,原因,red,20,"('車体(後部突入防止装置）', '不具合の部位')",車体(後部突入防止装置）,不具合の部位,gray,10,1
8,"('異音', '原因')",異音,原因,red,20,"('強度', '原因')",強度,原因,red,20,1
9,"('異音', '原因')",異音,原因,red,20,"('不足', '原因')",不足,原因,red,20,1
10,"('異音', '原因')",異音,原因,red,20,"('補修', '対策')",補修,対策,blue,20,1
11,"('車両全長', '不具合の部位')",車両全長,不具合の部位,gray,10,"('受注時', '原因')",受注時,原因,red,20,1
12,"('車両全長', '不具合の部位')",車両全長,不具合の部位,gray,10,"('フォーク等', '原因')",フォーク等,原因,red,20,1
13,"('車両全長', '不具合の部位')",車両全長,不具合の部位,gray,10,"('仕様組み合わせ', '原因')",仕様組み合わせ,原因,red,20,1
14,"('車両全長', '不具合の部位')",車両全長,不具合の部位,gray,10,"('作業装置', '原因')",作業装置,原因,red,20,1
15,"('車両全長', '不具合の部位')",車両全長,不具合の部位,gray,10,"('満足', '対策')",満足,対策,blue,20,1
16,"('車両全長', '不具合の部位')",車両全長,不具合の部位,gray,10,"('作業装置', '対策')",作業装置,対策,blue,20,1
17,"('車両全長', '不具合の部位')",車両全長,不具合の部位,gray,10,"('フォーク等', '対策')",フォーク等,対策,blue,20,1
18,"('受注時', '原因')",受注時,原因,red,20,"('フォーク等', '原因')",フォーク等,原因,red,20,2
19,"('受注時', '原因')",受注時,原因,red,20,"('仕様組み合わせ', '原因')",仕様組み合わせ,原因,red,20,2
20,"('受注時', '原因')",受注時,原因,red,20,"('作業装置', '原因')",作業装置,原因,red,20,2
21,"('受注時', '原因')",受注時,原因,red,20,"('満足', '対策')",満足,対策,blue,20,2
22,"('受注時', '原因')",受注時,原因,red,20,"('作業装置', '対策')",作業装置,対策,blue,20,2
23,"('受注時', '原因')",受注時,原因,red,20,"('フォーク等', '対策')",フォーク等,対策,blue,20,2
24,"('受注時', '原因')",受注時,原因,red,20,"('方向指示器', '不具合の部位')",方向指示器,不具合の部位,gray,10,1
25,"('受注時', '原因')",受注時,原因,red,20,"('道路運送車両', '原因')",道路運送車両,原因,red,20,1
26,"('フォーク等', '原因')",フォーク等,原因,red,20,"('仕様組み合わせ', '原因')",仕様組み合わせ,原因,red,20,2
27,"('フォーク等', '原因')",フォーク等,原因,red,20,"('作業装置', '原因')",作業装置,原因,red,20,2
28,"('フォーク等', '原因')",フォーク等,原因,red,20,"('満足', '対策')",満足,対策,blue,20,2
29,"('フォーク等', '原因')",フォーク等,原因,red,20,"('作業装置', '対策')",作業装置,対策,blue,20,2
30,"('フォーク等', '原因')",フォーク等,原因,red,20,"('フォーク等', '対策')",フォーク等,対策,blue,20,2
31,"('フォーク等', '原因')",フォーク等,原因,red,20,"('方向指示器', '不具合の部位')",方向指示器,不具合の部位,gray,10,1
32,"('フォーク等', '原因')",フォーク等,原因,red,20,"('道路運送車両', '原因')",道路運送車両,原因,red,20,1
33,"('仕様組み合わせ', '原因')",仕様組み合わせ,原因,red,20,"('作業装置', '原因')",作業装置,原因,red,20,2
34,"('仕様組み合わせ', '原因')",仕様組み合わせ,原因,red,20,"('満足', '対策')",満足,対策,blue,20,2
35,"('仕様組み合わせ', '原因')",仕様組み合わせ,原因,red,20,"('作業装置', '対策')",作業装置,対策,blue,20,2
36,"('仕様組み合わせ', '原因')",仕様組み合わせ,原因,red,20,"('フォーク等', '対策')",フォーク等,対策,blue,20,2
37,"('仕様組み合わせ', '原因')",仕様組み合わせ,原因,red,20,"('方向指示器', '不具合の部位')",方向指示器,不具合の部位,gray,10,1
38,"('仕様組み合わせ', '原因')",仕様組み合わせ,原因,red,20,"('道路運送車両', '原因')",道路運送車両,原因,red,20,1
39,"('作業装置', '原因')",作業装置,原因,red,20,"('満足', '対策')",満足,対策,blue,20,2
40,"('作業装置', '原因')",作業装置,原因,red,20,"('作業装置', '対策')",作業装置,対策,blue,20,2
41,"('作業装置', '原因')",作業装置,原因,red,20,"('フォーク等', '対策')",フォーク等,対策,blue,20,2
42,"('作業装置', '原因')",作業装置,原因,red,20,"('方向指示器', '不具合の部位')",方向指示器,不具合の部位,gray,10,1
43,"('作業装置', '原因')",作業装置,原因,red,20,"('道路運送車両', '原因')",道路運送車両,原因,red,20,1
44,"('満足', '対策')",満足,対策,blue,20,"('作業装置', '対策')",作業装置,対策,blue,20,2
45,"('満足', '対策')",満足,対策,blue,20,"('フォーク等', '対策')",フォーク等,対策,blue,20,2
46,"('満足', '対策')",満足,対策,blue,20,"('方向指示器', '不具合の部位')",方向指示器,不具合の部位,gray,10,1
47,"('満足', '対策')",満足,対策,blue,20,"('道路運送車両', '原因')",道路運送車両,原因,red,20,1
48,"('作業装置', '対策')",作業装置,対策,blue,20,"('フォーク等', '対策')",フォーク等,対策,blue,20,2
49,"('作業装置', '対策')",作業装置,対策,blue,20,"('方向指示器', '不具合の部位')",方向指示器,不具合の部位,gray,10,1
50,"('作業装置', '対策')",作業装置,対策,blue,20,"('道路運送車両', '原因')",道路運送車両,原因,red,20,1
51,"('フォーク等', '対策')",フォーク等,対策,blue,20,"('方向指示器', '不具合の部位')",方向指示器,不具合の部位,gray,10,1
52,"('フォーク等', '対策')",フォーク等,対策,blue,20,"('道路運送車両', '原因')",道路運送車両,原因,red,20,1
53,"('方向指示器', '不具合の部位')",方向指示器,不具合の部位,gray,10,"('道路運送車両', '原因')",道路運送車両,原因,red,20,1
54,"('道路運送車両', '原因')",道路運送車両,原因,red,20,"('その他', '不具合の部位')",その他,不具合の部位,gray,10,1
55,"('道路運送車両', '原因')",道路運送車両,原因,red,20,"('点検', '対策')",点検,対策,blue,30,1
56,"('エアバッグ装置（インフレーター）', '不具合の部位')",エアバッグ装置（インフレーター）,不具合の部位,gray,10,"('ガス発生剤', '原因')",ガス発生剤,原因,red,20,1
57,"('エアバッグ装置（インフレーター）', '不具合の部位')",エアバッグ装置（インフレーター）,不具合の部位,gray,10,"('吸湿防止', '原因')",吸湿防止,原因,red,20,1
58,"('エアバッグ装置（インフレーター）', '不具合の部位')",エアバッグ装置（インフレーター）,不具合の部位,gray,10,"('エアバッグ作動時', '原因')",エアバッグ作動時,原因,red,20,1
59,"('エアバッグ装置（インフレーター）', '不具合の部位')",エアバッグ装置（インフレーター）,不具合の部位,gray,10,"('運転者席用エアバッグ', '原因')",運転者席用エアバッグ,原因,red,20,1
60,"('エアバッグ装置（インフレーター）', '不具合の部位')",エアバッグ装置（インフレーター）,不具合の部位,gray,10,"('繰返し', '原因')",繰返し,原因,red,20,1
61,"('エアバッグ装置（インフレーター）', '不具合の部位')",エアバッグ装置（インフレーター）,不具合の部位,gray,10,"('部品交換', '対策')",部品交換,対策,blue,20,1
62,"('エアバッグ装置（インフレーター）', '不具合の部位')",エアバッグ装置（インフレーター）,不具合の部位,gray,10,"('代替品', '対策')",代替品,対策,blue,20,1
