リコール届出番号,不具合の部位(部品名),原因,改善措置の内容
4647,原動機（ターボチャージャー）,４Ｖ２０型エンジンを搭載した中型トラックにおいて、ターボチャージャー取付けナットの締付け作業が不適切なため、当該ナットが正規トルクで締付けられていないものがある。そのため、ターボチャージャー取付部から排気ガスが漏れ、異音が生じるおそれがある。,全車両、ターボチャージャー取付けナットを正規トルクで締付ける。
4667,車両全長,フォークリフトにおいて、受注時の作業装置（フォーク等）の仕様組み合わせに伴う法規適合確認が不十分なため、全長が小型特殊自動車の範囲を超え、保安基準に適合しないおそれがある。,全車両、小型特殊自動車の長さ要件を満足する作業装置（フォーク等）と交換する。
4667,方向指示器,フォークリフト等において、受注時の作業装置（フォーク等）の仕様組み合わせに伴う法規適合確認が不十分なため、方向指示器の取付位置が道路運送車両の保安基準第４１条（方向指示器）に定める要件に満足しないものがある。,全車両、保安基準に満足するよう方向指示器を適切な位置に変更又は作業装置（フォーク等）を交換する。
4659,エアバッグ装置（インフレーター）,運転者席用エアバッグのインフレーター(膨張装置)において、吸湿防止が不適切なため、ガス発生剤が吸湿することがある。そのため、使用過程でガス発生剤が吸湿や乾燥を繰返した場合など、エアバッグ作動時に正常に展開しないおそれがある。,全車両、予防的措置としてエアバッグインフレーターを代替品と交換する。なお、部品が準備でき次第、部品交換を改めて案内する。
4660,エアバック装置（インフレーター）,大型トラック・小型バスの運転者席用エアバッグのインフレータ（膨張装置）において、吸湿防止が不適切なため、ガス発生剤が吸湿することがある。そのため、使用過程でガス発生剤が吸湿や乾燥を繰返した場合など、エアバッグ作動時に正常に展開しないおそれがある。,全車両、運転者席用エアバッグ装置の有無を確認し、装着されていた場合は、予防的措置としてエアバッグインフレータまたはエアバッグアッセンブリを代替品と交換する。なお、部品が準備でき次第、部品交換を改めて案内する。
4636,後写鏡等（直前直左確認鏡）,メーカー装着のナビゲーションシステムにおいて、液晶画面の電源用ICの製造工程での作業が不適切なため、通常使用しない薬液が残留しているものがある。そのため、使用過程でIC内部が断線し、液晶画面へ電源が供給されなくなり、直前直左確認用のカメラ映像が表示されず、保安基準第44条(後写鏡等の基準)に適合しなくなるおそれがある。,全車両、ナビゲーションシステムのシリアルナンバーを確認し、対象のものはナビゲーションシステムを良品と交換する。
4635,原動機（エンジン制御用コントロールユニット(エンジンECU)）,エンジンECUにおいて、燃料タンク内の燃料ポンプの制御プログラムが不適切なため、燃料残量が少ない場合に、燃料ポンプが空気を吸い込むことがある。そのため、燃料がエンジンに供給される過程で空気が圧縮され高温になることで炭化物が生成され、フューエルインジェクター内部に堆積し、当該インジェクターが作動不良となり、最悪の場合、エンストに至るおそれがある。,全車両、(1) エンジンECUの制御プログラムを対策仕様に書き替える。(2) 車台番号を確認し、フューエルインジェクターが対策前の車両はフューエルインジェクターを対策品と交換する。(3) 車台番号を確認し、取扱説明書、メンテナンスノートで、フューエルインジェクタークリーナーの定期注入指示がある車両は、その指示を廃止
4593,車体(後部突入防止装置）,後部突入防止装置において、クロスメンバーエンド取付部の強度が不足しているため、走行振動等により当該取付部に亀裂が生じることがある。そのため、そのままの状態で使用を続けると亀裂が進行し、ステーサイドバンパー部にガタや異音が発生するおそれがある。,全車両、クロスメンバーエンド取付部に補強材を追加する。なお、当該取付部に亀裂が生じているものは、溶接にて補修する。
4601,制動装置（ブレーキ負圧電動ポンプ）,ブレーキ倍力装置に負圧を発生させるブレーキ負圧電動ポンプにおいて、防水構造が不適切なため、使用過程においてポンプ内部に水分が浸入することがある。そのため、電動ポンプの内部が腐食し、ポンプの性能が低下して、最悪の場合、ブレーキ警告灯が点灯するとともに警告音が鳴り、ブレーキペダルの操作力が増大し、制動距離が長くなるおそれがある。,全車両、ブレーキ負圧電動ポンプを対策品と交換する。なお、交換用部品の準備に時間を要するため、使用者に不具合内容を通知のうえ、交換用部品が準備できた段階で交換する。
4598,電気装置（エンジンコントロールハーネス）,過給機付きエンジン車のエンジンコントロールハーネスにおいて、配索が不適切なため、走行時の振動で当該ハーネスがインタークーラーのケースと接触することがある。そのため、当該ハーネス内の電線の被覆が削られて短絡し、最悪の場合、走行中にエンジンが停止するおそれがある。,全車両、エンジンコントロールハーネスとエンジンブローバイホースを共締めする。なお、ハーネスを確認し損傷している場合は、補修または新品と交換する。
